data_boletim,sequencia_logradouros,tipo_logradouro,nome_logradouro,nome_bairro,descricao_tipo_bairro,numero_imovel
01/01/2014 01:41,1,AVE,CORONEL JOSE DIAS BICALHO                         ,SAO JOSE                                          ,BAIRRO                        ,1049
01/01/2014 02:20,1,RUA,MAIRINK                                           ,CAETANO FURQUIM                                   ,BAIRRO                        ,8
01/01/2014 02:20,2,RUA,SOUZA AGUIAR                                      ,CAETANO FURQUIM                                   ,BAIRRO                        ,SN
01/01/2014 02:30,1,RUA,AURELIANO MAGALHAES                               ,PARAISO                                           ,BAIRRO                        ,433
01/01/2014 03:09,1,RUA,SENHORA DA CONCEICAO                              ,CACHOEIRINHA                                      ,BAIRRO                        ,205
01/01/2014 05:29,1,AVE,OLINTO MEIRELES                                   ,ARAGUAIA                                          ,BAIRRO                        ,2599
01/01/2014 07:00,1,ROD,PREFEITO AMERICO GIANETTI                         ,SERRA VERDE                                       ,BAIRRO                        ,0
01/01/2014 07:34,1,AVE,RAJA GABAGLIA                                     ,LUXEMBURGO                                        ,BAIRRO                        ,1001
01/01/2014 13:00,1,RUA,JOSE FELIX MARTINS                                ,MANTIQUEIRA                                       ,BAIRRO                        ,10
01/01/2014 13:14,1,AVE,DOS ANDRADAS                                      ,ESPLANADA                                         ,BAIRRO                        ,SN
01/01/2014 13:14,2,RUA,BELEM                                             ,ESPLANADA                                         ,BAIRRO                        ,SN
01/01/2014 13:30,1,RUA,PINDORAMA                                         ,CACHOEIRINHA                                      ,BAIRRO                        ,0
01/01/2014 13:30,2,RUA,SAMBEATIBA                                        ,CACHOEIRINHA                                      ,BAIRRO                        ,0
01/01/2014 13:40,1,AVE,AMAZONAS                                          ,CABANA DO PAI TOMAS                               ,BAIRRO                        ,SN
01/01/2014 13:40,2,RUA,BARROQUINHA                                       ,CABANA DO PAI TOMAS                               ,BAIRRO                        ,SN
01/01/2014 14:13,1,AVE,VILARINHO                                         ,CENACULO                                          ,BAIRRO                        ,2720
01/01/2014 15:27,1,RUA,JOSE GOMES DOMINGUES                              ,CANAA                                             ,BAIRRO                        ,0
01/01/2014 15:27,2,RUA,UGANDA                                            ,CANAA                                             ,BAIRRO                        ,0
01/01/2014 15:31,1,AVE,DOM PEDRO II                                      ,CAICARAS                                          ,BAIRRO                        ,2002
01/01/2014 15:35,1,RUA,CLAUDIO GOMES DE SOUZA                            ,PALMARES                                          ,BAIRRO                        ,SN
01/01/2014 15:35,2,RUA,EXPEDICIONARIO ANTONIO NASCIMENTO                 ,PALMARES                                          ,BAIRRO                        ,97
01/01/2014 16:38,1,RUA,CAPELINHA                                         ,SERRA                                             ,BAIRRO                        ,SN
01/01/2014 16:38,2,RUA,PALMIRA                                           ,SERRA                                             ,BAIRRO                        ,0
01/01/2014 16:38,3,RUA,CAPIVARI                                          ,SERRA                                             ,BAIRRO                        ,SN
01/01/2014 16:49,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,NAZARE                                            ,BAIRRO                        ,KM 461
01/01/2014 16:55,1,RUA,FURQUIM WERNECK                                   ,TUPI A                                            ,BAIRRO                        ,667
01/01/2014 17:03,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,JARDIM VITORIA                                    ,BAIRRO                        ,KM 458
01/01/2014 17:25,1,RUA,ANTONIO JOSE DE OLIVEIRA                          ,                                     ,                 ,SN
01/01/2014 17:25,2,RUA,JOSE ANSELMO NASCIMENTO                           ,                                     ,                 ,SN
01/01/2014 17:43,1,RUA,ANTONIO BANDEIRA                                  ,TUPI A                                            ,BAIRRO                        ,SN
01/01/2014 17:43,2,AVE,SARAMENHA                                         ,TUPI A                                            ,BAIRRO                        ,SN
01/01/2014 18:28,1,RUA,LUCI LELIS                                        ,JARDIM DOS COMERCIARIOS                           ,BAIRRO                        ,546
01/01/2014 20:20,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,NOVO DAS INDUSTRIAS                               ,BAIRRO                        ,0
01/01/2014 20:20,2,RUA,DOS INDUSTRIARIOS                                 ,NOVO DAS INDUSTRIAS                               ,BAIRRO                        ,0
01/01/2014 20:20,3,AVE,WALDYR SOEIRO EMRICH                              ,NOVO DAS INDUSTRIAS                               ,BAIRRO                        ,0
01/01/2014 20:40,1,AVE,AMAZONAS                                          ,CENTRO                                            ,BAIRRO                        ,560
01/01/2014 20:40,2,RUA,SAO PAULO                                         ,CENTRO                                            ,BAIRRO                        ,0
01/01/2014 20:40,3,RUA,DOS TAMOIOS                                       ,CENTRO                                            ,BAIRRO                        ,SN
01/01/2014 22:00,1,RUA,EGITO                                             ,JARDIM LEBLON                                     ,BAIRRO                        ,0
01/01/2014 22:00,2,RUA,SANTA CRUZ DO ESCALVADO                           ,JARDIM LEBLON                                     ,BAIRRO                        ,5
02/01/2014 00:01,1,AVE,OTACILIO NEGRAO DE LIMA                           ,SAO LUIZ                                          ,BAIRRO                        ,730
02/01/2014 06:35,1,AVE,AUGUSTO DE LIMA                                   ,                                     ,                 ,SN
02/01/2014 06:35,2,RUA,ESPIRITO SANTO                                    ,                                     ,                 ,SN
02/01/2014 06:41,1,AVE,DO CONTORNO                                       ,                                     ,                 ,SN
02/01/2014 06:41,2,RUA,CONDE DE LINHARES                                 ,                                     ,                 ,0
02/01/2014 06:41,3,AVE,OLEGARIO MACIEL                                   ,                                     ,                 ,SN
02/01/2014 07:36,1,AVE,PORTUGAL                                          ,JARDIM ATLANTICO                                  ,BAIRRO                        ,440
02/01/2014 09:41,1,AVE,PRESIDENTE JUSCELINO KUBITSCHEK                   ,CAMARGOS                                          ,BAIRRO                        ,4100
02/01/2014 09:50,1,AVE,ANTONIO ABRAHAO CARAM                             ,SAO JOSE                                          ,BAIRRO                        ,SN
02/01/2014 09:50,2,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO JOSE                                          ,BAIRRO                        ,SN
02/01/2014 10:00,1,RUA,PADRE PEDRO PINTO                                 ,VENDA NOVA                                        ,BAIRRO                        ,322
02/01/2014 10:10,1,RUA,ANTONIO EUSTAQUIO PIAZZA                          ,TIROL                                             ,BAIRRO                        ,3762
02/01/2014 12:10,1,AVE,TERESA CRISTINA                                   ,DAS INDUSTRIAS                                    ,BAIRRO                        ,8723
02/01/2014 12:43,1,AVE,DOM PEDRO II                                      ,CARLOS PRATES                                     ,BAIRRO                        ,677
02/01/2014 15:04,1,RUA,PADRE PEDRO PINTO                                 ,VENDA NOVA                                        ,BAIRRO                        ,2244
02/01/2014 15:39,1,AVE,CRISTIANO MACHADO                                 ,UNIAO                                             ,BAIRRO                        ,4000
02/01/2014 16:00,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO LUIZ                                          ,BAIRRO                        ,7596
02/01/2014 17:25,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,JARDIM VITORIA                                    ,BAIRRO                        ,KM 26
02/01/2014 18:18,1,AVE,CRISTIANO MACHADO                                 ,IPIRANGA                                          ,BAIRRO                        ,4001
02/01/2014 18:52,1,RUA,PROFESSOR RAPHAEL HARDY                           ,PADRE EUSTAQUIO                                   ,BAIRRO                        ,141
02/01/2014 20:53,1,RUA,DOIS                                              ,VISTA DO SOL                                      ,VILA                          ,8
02/01/2014 21:10,1,RUA,HERCULANO SOARES ROCHA                            ,IPE                                               ,BAIRRO                        ,SN
02/01/2014 21:10,2,RUA,SEBASTIAO EVANGELISTA DE ARAUJO                   ,IPE                                               ,BAIRRO                        ,0
02/01/2014 21:10,3,RUA,LIDIA AVELAR ESTANISLAU                           ,IPE                                               ,BAIRRO                        ,SN
02/01/2014 23:10,1,RUA,GOIAS                                             ,                                     ,                 ,SN
02/01/2014 23:10,2,RUA,SERGIPE                                           ,                                     ,                 ,0
02/01/2014 23:10,3,RUA,DOS GUAJAJARAS                                    ,                                     ,                 ,SN
03/01/2014 01:37,1,RUA,EDGARD TORRES                                     ,MINASCAIXA                                        ,BAIRRO                        ,1999
03/01/2014 01:37,2,RUA,CAPITAO NELSON ALBUQUERQUE                        ,MINASCAIXA                                        ,BAIRRO                        ,0
03/01/2014 01:37,3,AVE,VILARINHO                                         ,MINASCAIXA                                        ,BAIRRO                        ,1999
03/01/2014 07:02,1,RUA,MONTE SANTO                                       ,CARLOS PRATES                                     ,BAIRRO                        ,1152
03/01/2014 07:02,2,RUA,PADRE EUSTAQUIO                                   ,CARLOS PRATES                                     ,BAIRRO                        ,1152
03/01/2014 08:10,1,RUA,ALEM PARAIBA                                      ,BONFIM                                            ,BAIRRO                        ,199
03/01/2014 08:19,1,AVE,DOS ANDRADAS                                      ,ALTO VERA CRUZ                                    ,BAIRRO                        ,SN
03/01/2014 08:19,2,RUA,FERNAO DIAS                                       ,ALTO VERA CRUZ                                    ,BAIRRO                        ,SN
03/01/2014 08:56,1,AVE,PORTUGAL                                          ,JARDIM ATLANTICO                                  ,BAIRRO                        ,45
03/01/2014 09:02,1,RUA,ACACIO TELES PEREIRA                              ,GARCAS                                            ,BAIRRO                        ,22
03/01/2014 09:18,1,AVE,MAGENTA                                           ,VILA VITORIA                                      ,VILA                          ,250
03/01/2014 09:31,1,AVE,JOSE CANDIDO DA SILVEIRA                          ,CIDADE NOVA                                       ,BAIRRO                        ,415
03/01/2014 09:39,1,AVE,ALVARES CABRAL                                    ,LOURDES                                           ,BAIRRO                        ,SN
03/01/2014 09:39,2,RUA,GONCALVES DIAS                                    ,LOURDES                                           ,BAIRRO                        ,0
03/01/2014 09:39,3,RUA,CURITIBA                                          ,LOURDES                                           ,BAIRRO                        ,1945
03/01/2014 09:57,1,RUA,ALMIRANTE ALEXANDRINO                             ,GUTIERREZ                                         ,BAIRRO                        ,SN
03/01/2014 09:57,2,AVE,DO CONTORNO                                       ,GUTIERREZ                                         ,BAIRRO                        ,SN
03/01/2014 10:14,1,AVE,SILVIANO BRANDAO                                  ,HORTO                                             ,BAIRRO                        ,2051
03/01/2014 10:32,1,RUA,LEVI COELHO                                       ,SANTA EFIGENIA                                    ,BAIRRO                        ,29
03/01/2014 10:37,1,AVE,AMERICO VESPUCIO                                  ,NOVA CACHOEIRINHA                                 ,BAIRRO                        ,320
03/01/2014 10:42,1,RUA,BENJAMIM BRANDAO                                  ,                                     ,                 ,SN
03/01/2014 10:42,2,RUA,JOAQUIM RAMOS                                     ,                                     ,                 ,SN
03/01/2014 11:40,1,AVE,AMAZONAS                                          ,SANTO AGOSTINHO                                   ,BAIRRO                        ,1333
03/01/2014 12:36,1,AVE,RAJA GABAGLIA                                     ,GUTIERREZ                                         ,BAIRRO                        ,1000
03/01/2014 12:53,1,AVE,ABILIO MACHADO                                    ,ALIPIO DE MELO                                    ,BAIRRO                        ,1548
03/01/2014 13:58,1,AVE,LUIZ PAULO FRANCO                                 ,BELVEDERE                                         ,BAIRRO                        ,1111
03/01/2014 14:00,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,LAGOINHA                                          ,BAIRRO                        ,427
03/01/2014 15:07,1,RUA,HILO ESTEVAM DE ANDRADE                           ,JARDIM ALVORADA                                   ,BAIRRO                        ,124
03/01/2014 15:09,1,RUA,PADRE PEDRO PINTO                                 ,VENDA NOVA                                        ,BAIRRO                        ,149
03/01/2014 15:09,2,RUA,DOUTOR ALVARO CAMARGOS                            ,VENDA NOVA                                        ,BAIRRO                        ,SN
03/01/2014 15:30,1,AVE,AFONSO PENA                                       ,CENTRO                                            ,BAIRRO                        ,SN
03/01/2014 15:30,2,RUA,DA BAHIA                                          ,CENTRO                                            ,BAIRRO                        ,SN
03/01/2014 15:49,1,AVE,DOS ANDRADAS                                      ,                                     ,                 ,SN
03/01/2014 15:49,2,AVE,FRANCISCO SALES                                   ,                                     ,                 ,SN
03/01/2014 16:32,1,AVE,JOSE CANDIDO DA SILVEIRA                          ,CIDADE NOVA                                       ,BAIRRO                        ,SN
03/01/2014 16:32,2,AVE,CRISTIANO MACHADO                                 ,CIDADE NOVA                                       ,BAIRRO                        ,1465
03/01/2014 17:21,1,RUA,MARIA CONCEICAO BONFIM                            ,GOIANIA                                           ,BAIRRO                        ,1276
03/01/2014 17:27,1,RUA,PADRE EUSTAQUIO                                   ,                                     ,                 ,SN
03/01/2014 17:27,2,RUA,PROGRESSO                                         ,                                     ,                 ,SN
03/01/2014 17:30,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,NAZARE                                            ,BAIRRO                        ,53
03/01/2014 17:41,1,AVE,AMAZONAS                                          ,CENTRO                                            ,BAIRRO                        ,0
03/01/2014 17:41,2,PCA,RAUL SOARES                                       ,CENTRO                                            ,BAIRRO                        ,0
03/01/2014 18:18,1,AVE,JOSE CANDIDO DA SILVEIRA                          ,SANTA INES                                        ,BAIRRO                        ,2936
03/01/2014 18:23,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,CAMPUS UFMG                                       ,AREA                          ,4243
03/01/2014 18:30,1,RUA,PALERMO                                           ,BANDEIRANTES                                      ,BAIRRO                        ,SN
03/01/2014 18:30,2,AVE,SICILIA                                           ,BANDEIRANTES                                      ,BAIRRO                        ,SN
03/01/2014 18:47,1,RUA,DOUTOR BENEDITO XAVIER                            ,SAO GABRIEL                                       ,BAIRRO                        ,SN
03/01/2014 18:47,2,RUA,JACUI                                             ,SAO GABRIEL                                       ,BAIRRO                        ,SN
03/01/2014 19:27,1,RUA,DOUTOR ALVARO CAMARGOS                            ,SAO JOAO BATISTA-VENDA NOVA                       ,BAIRRO                        ,514
03/01/2014 20:52,1,RUA,MARACANA                                          ,SANTA EFIGENIA                                    ,BAIRRO                        ,SN
03/01/2014 20:52,2,AVE,MEM DE SA                                         ,SANTA EFIGENIA                                    ,BAIRRO                        ,SN
03/01/2014 21:19,1,RUA,DAS PETUNIAS                                      ,LINDEIA                                           ,BAIRRO                        ,80
03/01/2014 22:10,1,RUA,EDMAR COLINI FERREIRA                             ,                                     ,                 ,SN
03/01/2014 22:10,2,RUA,PAULO ALVES DA SILVA                              ,                                     ,                 ,SN
03/01/2014 23:00,1,AVE,CRISTIANO MACHADO                                 ,PRIMEIRO DE MAIO                                  ,BAIRRO                        ,SN
03/01/2014 23:00,2,RUA,VOLTS                                             ,PRIMEIRO DE MAIO                                  ,BAIRRO                        ,10
04/01/2014 00:20,1,ROD,PREFEITO AMERICO GIANETTI                         ,CANAA                                             ,BAIRRO                        ,KM 16
04/01/2014 03:05,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO LUIZ                                          ,BAIRRO                        ,8306
04/01/2014 05:51,1,RUA,AURELIO LOPES                                     ,DIAMANTE                                          ,BAIRRO                        ,20
04/01/2014 08:21,1,RUA,VINTE E CINCO DE AGOSTO                           ,APARECIDA                                         ,BAIRRO                        ,87
04/01/2014 09:15,1,RUA,DESEMBARGADOR PAULO MOTA                          ,OURO PRETO                                        ,BAIRRO                        ,915
04/01/2014 09:32,1,RUA,GONCALVES DIAS                                    ,                                     ,                 ,SN
04/01/2014 09:32,2,RUA,RIO GRANDE DO SUL                                 ,                                     ,                 ,SN
04/01/2014 09:41,1,RUA,DOM JOAO ANTONIO DOS SANTOS                       ,                                     ,                 ,SN
04/01/2014 09:41,2,RUA,DOM LUCIO ANTUNES                                 ,                                     ,                 ,SN
04/01/2014 10:48,1,RUA,ERICO VERISSIMO                                   ,SAO JOAO BATISTA-VENDA NOVA                       ,BAIRRO                        ,128
04/01/2014 12:37,1,RUA,NELSON SOARES DE FARIA                            ,CIDADE NOVA                                       ,BAIRRO                        ,32
04/01/2014 12:51,1,AVE,PROFESSOR MARIO WERNECK                           ,BURITIS                                           ,BAIRRO                        ,SN
04/01/2014 13:30,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,ALTO CAICARAS                                     ,BAIRRO                        ,1060
04/01/2014 14:20,1,RUA,ELISIO DE BRITO                                   ,BOA VISTA                                         ,BAIRRO                        ,50
04/01/2014 14:50,1,RUA,JOSE AMARAL PIMENTA                               ,                                     ,                 ,SN
04/01/2014 14:50,2,RUA,VEREADOR ANTONIO MENEZES                          ,                                     ,                 ,SN
04/01/2014 14:53,1,RUA,CORREGO DA MATA                                   ,                                     ,                 ,SN
04/01/2014 14:53,2,RUA,DONA NANCY DE VASCONCELOS GOMES                   ,                                     ,                 ,SN
04/01/2014 15:17,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,NOVA CACHOEIRINHA                                 ,BAIRRO                        ,3157
04/01/2014 15:36,1,RUA,GENOVEVA DE SOUZA                                 ,                                     ,                 ,SN
04/01/2014 15:36,2,RUA,SANTA MARTA                                       ,                                     ,                 ,SN
