data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
01/01/2015 01:49,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
01/01/2015 02:00,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 02:00,2,              ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 03:53,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 06:20,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,      
01/01/2015 06:25,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,TERCEIROS           
01/01/2015 06:29,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 06:29,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 06:36,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 06:58,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 06:58,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 07:27,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 07:27,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 14:30,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2015 15:30,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 15:30,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 15:47,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 15:49,1,              ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 16:00,1,              ,MOTOCICLETA                   ,EM MOVIMENTO   ,TERCEIROS           
01/01/2015 16:43,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 16:43,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 17:30,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 17:30,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 17:44,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2015 19:15,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2015 20:15,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
