data_boletim,sequencia_logradouros,tipo_logradouro,nome_logradouro,nome_bairro,descricao_tipo_bairro,numero_imovel
09/03/2013 10:35,2,RUA,JOSE GONCALVES                                    ,                                     ,                 ,SN
09/03/2013 11:13,1,AVE,WALDYR SOEIRO EMRICH                              ,OLARIA                                            ,BAIRRO                        ,4906
09/03/2013 11:22,1,AVE,VILARINHO                                         ,JARDIM DOS COMERCIARIOS                           ,BAIRRO                        ,4000
09/03/2013 11:54,1,AVE,PRESIDENTE CARLOS LUZ                             ,APARECIDA SETIMA SECAO                            ,BAIRRO                        ,2600
09/03/2013 12:07,1,AVE,VILARINHO                                         ,CANDELARIA                                        ,BAIRRO                        ,3197
09/03/2013 12:40,1,RUA,OURO FINO                                         ,CRUZEIRO                                          ,BAIRRO                        ,115
09/03/2013 12:49,1,AVE,PORTUGAL                                          ,JARDIM ATLANTICO                                  ,BAIRRO                        ,2336
09/03/2013 12:59,1,RUA,GONCALVES DIAS                                    ,                                     ,                 ,S/N
09/03/2013 12:59,2,RUA,RIO GRANDE DO NORTE                               ,                                     ,                 ,S/N
09/03/2013 13:41,1,AVE,CRISTIANO MACHADO                                 ,SAO PAULO                                         ,BAIRRO                        ,S/N
09/03/2013 14:26,1,RUA,DIVINO ESPIRITO SANTO                             ,RIBEIRO DE ABREU                                  ,BAIRRO                        ,299
09/03/2013 14:29,1,RUA,ITAPETINGA                                        ,SANTA CRUZ                                        ,BAIRRO                        ,2512
09/03/2013 14:31,1,RUA,ITAPEVA                                           ,                                     ,                 ,S/N
09/03/2013 14:31,2,RUA,TAMBORIL                                          ,                                     ,                 ,S/N
09/03/2013 14:50,1,AVE,ABILIO MACHADO                                    ,ALIPIO DE MELO                                    ,BAIRRO                        ,1772
09/03/2013 15:02,1,RUA,MADRE PAULINA                                     ,DIAMANTE                                          ,BAIRRO                        ,245
09/03/2013 15:03,1,PCA,GOVERNADOR ISRAEL PINHEIRO                        ,MANGABEIRAS                                       ,BAIRRO                        ,S/N
09/03/2013 15:03,2,RUA,PROFESSOR LAIR RAMUSAT RENNO                      ,MANGABEIRAS                                       ,BAIRRO                        ,0
09/03/2013 15:03,3,RUA,HENRIQUE QUICK                                    ,MANGABEIRAS                                       ,BAIRRO                        ,S/N
09/03/2013 15:30,1,RUA,RIO DE JANEIRO                                    ,CENTRO                                            ,BAIRRO                        ,S/N
09/03/2013 15:30,2,AVE,SANTOS DUMONT                                     ,CENTRO                                            ,BAIRRO                        ,S/N
09/03/2013 15:52,1,RUA,RIACHUELO                                         ,CARLOS PRATES                                     ,BAIRRO                        ,S/N
09/03/2013 15:52,2,RUA,SANTA QUITERIA                                    ,CARLOS PRATES                                     ,BAIRRO                        ,S/N
09/03/2013 15:54,1,RUA,COLUNA PRESTES                                    ,PROVIDENCIA                                       ,BAIRRO                        ,SN
09/03/2013 15:54,2,RUA,MARAVILHAS                                        ,PROVIDENCIA                                       ,BAIRRO                        ,SN
09/03/2013 15:59,1,RUA,LUME                                              ,SAO SALVADOR                                      ,BAIRRO                        ,SN
09/03/2013 15:59,2,RUA,VERONICA                                          ,SAO SALVADOR                                      ,BAIRRO                        ,SN
09/03/2013 16:13,1,RUA,DOS AIMORES                                       ,SANTO AGOSTINHO                                   ,BAIRRO                        ,2578
09/03/2013 16:20,1,RUA,MARACANA                                          ,SANTA EFIGENIA                                    ,BAIRRO                        ,205
