data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
01/01/2013 01:11,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 01:11,2,ALUGUEL                       ,ONIBUS                        ,PARADO         ,      
01/01/2013 01:11,3,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
01/01/2013 01:16,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 01:16,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 01:48,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 01:48,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 02:04,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 02:12,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 02:32,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 02:32,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2013 02:38,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 02:38,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 04:54,1,ALUGUEL                       ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 06:40,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 06:40,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 08:07,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
01/01/2013 08:23,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2013 11:20,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
01/01/2013 11:28,1,PARTICULAR                    ,BICICLETA                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 11:28,2,PARTICULAR                    ,AUTOMOVEL                     ,               ,      
01/01/2013 12:10,1,PARTICULAR                    ,AUTOMOVEL                     ,               ,      
01/01/2013 12:10,2,PARTICULAR                    ,CAMIONETA                     ,EM MOVIMENTO   ,      
01/01/2013 13:29,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 13:29,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 15:16,1,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
01/01/2013 15:16,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,TERCEIROS           
01/01/2013 15:43,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 15:43,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2013 16:12,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 17:10,1,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
01/01/2013 17:10,2,PARTICULAR                    ,MOTOCICLETA                   ,PARADO         ,VIATURA PMMG        
01/01/2013 17:10,3,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2013 18:00,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 18:18,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 18:44,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 18:44,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 19:17,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2013 19:55,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2013 19:55,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 21:03,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
01/01/2013 21:03,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2013 21:16,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VEICULO ENVOLVIDO   
02/01/2013 06:29,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2013 06:29,2,PARTICULAR                    ,MOTOCICLETA                   ,PARADO         ,      
02/01/2013 06:32,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2013 06:32,2,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
02/01/2013 07:22,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
02/01/2013 07:22,2,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,      
02/01/2013 10:19,1,ALUGUEL                       ,CAMINHAO                      ,EM MOVIMENTO   ,      
02/01/2013 11:55,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
02/01/2013 11:55,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
02/01/2013 11:55,3,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2013 11:57,1,PARTICULAR                    ,MOTOCICLETA                   ,PARADO         ,AMBULANCIA          
02/01/2013 11:57,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2013 12:19,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
02/01/2013 12:19,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
02/01/2013 12:35,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
